CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts,Caste,ComplainantPhone
90001,101013009202690001,202690001,2026-07-10,100042,3009,1,2,3,305,1,2,2026-07-10 17:11:00,2026-07-10 19:46:00,2026-07-10 21:03:00,12.950784,77.561078,"The complainant Ravi Hegde reported theft of cash of Rs 42,000 from the old town lanes during the daytime. unknown persons took advantage of the crowd and escaped. A case has been registered and nearby CCTV cameras are being verified.",,
90002,101103084202690002,202690002,2026-07-10,100377,3084,1,2,5,501,1,19,2026-07-09 16:26:00,2026-07-09 21:00:00,2026-07-10 17:53:00,16.181954,74.750743,"The complainant Kiran Reddy reported receiving posing as fake police on beat duty, following which an amount was fraudulently debited from his bank account. The fraudster kept the complainant engaged on the call during the business hours and obtained the OTP. The cyber cell has been alerted and the money trail is being traced.",,
90003,101013001202690003,202690003,2026-07-11,100013,3001,1,2,5,501,1,1,2026-07-11 08:32:00,2026-07-11 10:36:00,2026-07-11 20:52:00,12.966140,77.610747,"The complainant Pallavi Gowda reported receiving posing as bank staff for card renewal, following which an amount was fraudulently debited from his bank account. The fraudster kept the complainant engaged on the call during the business hours and obtained the OTP. The cyber cell has been alerted and the money trail is being traced.",,
90004,301013008202690004,202690004,2026-07-11,100039,3008,3,2,8,801,1,1,2026-07-11 17:46:00,2026-07-11 23:27:00,2026-07-12 01:55:00,12.993236,77.554791,The complainant Vani Angadi reported that the victim Rajesh Desai left home near HSR Layout PS during the daytime and has not returned since. Searches in hospitals and with relatives yielded no result. A missing person report has been registered and the description circulated to all units.,,
90005,101323229202690005,202690005,2026-07-25,101032,3229,1,2,2,203,1,64,2026-07-25 17:05:00,2026-07-25 20:05:00,2026-07-25 23:20:00,16.761488,77.198466,The complainant Srinivas Swamy reported that unknown persons outraged the modesty of the victim Sumithra Gowda at the market area during the evening hours. The accused also hurled abuses when confronted by passers-by. A case has been registered and statements recorded.,,
90006,401013003202690006,202690006,2026-07-10,100020,3003,4,2,6,602,1,2,2026-07-10 17:41:00,2026-07-10 21:17:00,2026-07-11 01:10:00,12.992573,77.623786,The complainant SI Meena Reddy reported that the accused Thimmaiah Poojary and associates formed an unlawful assembly at the bus stand vicinity during the daytime in defiance of prohibitory orders. The assembly was dispersed peacefully. A case has been registered.,,
90007,101033024202690007,202690007,2026-07-11,100116,3024,1,2,4,401,1,6,2026-07-11 09:25:00,2026-07-11 13:05:00,2026-07-11 15:26:00,12.324211,76.657737,"The complainant Nandini Murthy reported that the accused Somashekar Reddy N and associates induced him to part with funds on the promise of high returns and business partnership, and cheated him of a laptop bag with documents and cash. The transactions occurred near Mysuru South PS during business hours. Documents have been seized and a case registered.",,
90184,10103302620269018,202690184,2026-07-06,100123,3026,1,2,5,501,1,5,2026-07-06 11:43:00,2026-07-06 14:48:00,2026-07-06 18:41:00,12.342425,76.615971,"The complainant Thimmaiah Rao reported receiving a courier-parcel scam call, following which an amount was fraudulently debited from his bank account. The fraudster kept the complainant engaged on the call during the business hours and obtained the OTP. The cyber cell has been alerted and the money trail is being traced.",,
90008,101013010202690008,202690008,2026-07-11,100048,3010,1,2,5,501,1,2,2026-07-11 16:40:00,2026-07-11 19:03:00,2026-07-11 22:47:00,12.933919,77.552472,"The complainant Suresh Gowda reported receiving loan-app threat messages, following which an amount was fraudulently debited from his bank account. The fraudster kept the complainant engaged on the call during the business hours and obtained the OTP. The cyber cell has been alerted and the money trail is being traced.",,
90009,101253184202690009,202690009,2026-07-03,100832,3184,1,1,3,302,1,49,2026-07-03 19:24:00,2026-07-03 19:56:00,2026-07-03 23:41:00,12.784839,77.278474,The complainant Manjula Desai stated that the accused Girish Swamy threatened him with a knife at an apartment complex during the evening hours and robbed a mobile phone. The accused escaped on a white autorickshaw. A case has been registered and CCTV footage of the vicinity is being examined.,,
